Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011339 | lrm: 1.00 | dt: 187775ms | tok/sec: 872 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.893070 | lrm: 1.00 | dt: 94ms | tok/sec: 1,743,096 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.595889 | lrm: 1.00 | dt: 95ms | tok/sec: 1,718,090 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.199361 | lrm: 1.00 | dt: 97ms | tok/sec: 1,694,425 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.833689 | lrm: 1.00 | dt: 99ms | tok/sec: 1,660,408 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.512555 | lrm: 1.00 | dt: 98ms | tok/sec: 1,680,232 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.249023 | lrm: 1.00 | dt: 98ms | tok/sec: 1,676,231 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.036671 | lrm: 1.00 | dt: 97ms | tok/sec: 1,681,675 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.853073 | lrm: 1.00 | dt: 97ms | tok/sec: 1,690,599 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.695152 | lrm: 1.00 | dt: 108ms | tok/sec: 1,519,132 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.561034 | lrm: 1.00 | dt: 114ms | tok/sec: 1,434,881 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.444134 | lrm: 1.00 | dt: 101ms | tok/sec: 1,618,604 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.345938 | lrm: 1.00 | dt: 99ms | tok/sec: 1,659,802 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.260626 | lrm: 1.00 | dt: 98ms | tok/sec: 1,674,157 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.181292 | lrm: 1.00 | dt: 98ms | tok/sec: 1,669,261 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 6.111059 | lrm: 1.00 | dt: 99ms | tok/sec: 1,662,090 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00016 (0.2%) | loss: 6.050063 | lrm: 1.00 | dt: 98ms | tok/sec: 1,680,203 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 5.996679 | lrm: 1.00 | dt: 98ms | tok/sec: 1,679,685 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00018 (0.2%) | loss: 5.943118 | lrm: 1.00 | dt: 101ms | tok/sec: 1,617,716 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 5.895383 | lrm: 1.00 | dt: 108ms | tok/sec: 1,512,915 | mfu: 36.6% | epoch: 1 | remaining: 299s    
step 00020 (0.3%) | loss: 5.846119 | lrm: 1.00 | dt: 107ms | tok/sec: 1,532,770 | mfu: 37.0% | epoch: 1 | remaining: 299s    
step 00021 (0.3%) | loss: 5.805260 | lrm: 1.00 | dt: 101ms | tok/sec: 1,620,719 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00022 (0.4%) | loss: 5.770906 | lrm: 1.00 | dt: 100ms | tok/sec: 1,639,136 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00023 (0.4%) | loss: 5.734820 | lrm: 1.00 | dt: 98ms | tok/sec: 1,674,602 | mfu: 40.5% | epoch: 1 | remaining: 299s    
step 00024 (0.4%) | loss: 5.700382 | lrm: 1.00 | dt: 98ms | tok/sec: 1,665,151 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00025 (0.5%) | loss: 5.667231 | lrm: 1.00 | dt: 112ms | tok/sec: 1,462,670 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00026 (0.5%) | loss: 5.636919 | lrm: 1.00 | dt: 97ms | tok/sec: 1,695,931 | mfu: 41.0% | epoch: 1 | remaining: 298s    
step 00027 (0.5%) | loss: 5.606383 | lrm: 1.00 | dt: 98ms | tok/sec: 1,680,359 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00028 (0.6%) | loss: 5.577444 | lrm: 1.00 | dt: 101ms | tok/sec: 1,618,959 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00029 (0.6%) | loss: 5.551337 | lrm: 1.00 | dt: 105ms | tok/sec: 1,561,117 | mfu: 37.7% | epoch: 1 | remaining: 298s    
step 00030 (0.6%) | loss: 5.521461 | lrm: 1.00 | dt: 103ms | tok/sec: 1,592,845 | mfu: 38.5% | epoch: 1 | remaining: 298s    
