Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSLSLML'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,144
  scalars                 : 16
  total                   : 50,331,984
Estimated FLOPs per token: 2.327858e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011255 | lrm: 1.00 | dt: 44196ms | tok/sec: 5,190 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.870220 | lrm: 1.00 | dt: 137ms | tok/sec: 1,675,022 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.495891 | lrm: 1.00 | dt: 149ms | tok/sec: 1,536,388 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.046487 | lrm: 1.00 | dt: 139ms | tok/sec: 1,653,386 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.671554 | lrm: 1.00 | dt: 138ms | tok/sec: 1,656,586 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.345546 | lrm: 1.00 | dt: 145ms | tok/sec: 1,579,802 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.086721 | lrm: 1.00 | dt: 141ms | tok/sec: 1,627,514 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.881335 | lrm: 1.00 | dt: 153ms | tok/sec: 1,501,092 | mfu: 35.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.707011 | lrm: 1.00 | dt: 173ms | tok/sec: 1,328,653 | mfu: 31.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.561246 | lrm: 1.00 | dt: 146ms | tok/sec: 1,574,630 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.436396 | lrm: 1.00 | dt: 156ms | tok/sec: 1,467,883 | mfu: 34.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.327709 | lrm: 1.00 | dt: 138ms | tok/sec: 1,661,234 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.234925 | lrm: 1.00 | dt: 159ms | tok/sec: 1,446,443 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.150551 | lrm: 1.00 | dt: 138ms | tok/sec: 1,657,385 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.072959 | lrm: 1.00 | dt: 140ms | tok/sec: 1,639,663 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 6.008434 | lrm: 1.00 | dt: 147ms | tok/sec: 1,562,275 | mfu: 36.8% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 5.949831 | lrm: 1.00 | dt: 142ms | tok/sec: 1,613,655 | mfu: 38.0% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.895453 | lrm: 1.00 | dt: 145ms | tok/sec: 1,586,746 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.843881 | lrm: 1.00 | dt: 142ms | tok/sec: 1,618,620 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.797664 | lrm: 1.00 | dt: 143ms | tok/sec: 1,600,901 | mfu: 37.7% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.754701 | lrm: 1.00 | dt: 144ms | tok/sec: 1,596,647 | mfu: 37.6% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 5.712863 | lrm: 1.00 | dt: 141ms | tok/sec: 1,626,834 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 5.672587 | lrm: 1.00 | dt: 152ms | tok/sec: 1,507,955 | mfu: 35.5% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.635580 | lrm: 1.00 | dt: 140ms | tok/sec: 1,633,319 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 5.600466 | lrm: 1.00 | dt: 142ms | tok/sec: 1,618,234 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.566764 | lrm: 1.00 | dt: 141ms | tok/sec: 1,627,971 | mfu: 38.3% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 5.535894 | lrm: 1.00 | dt: 142ms | tok/sec: 1,620,221 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.504777 | lrm: 1.00 | dt: 141ms | tok/sec: 1,621,436 | mfu: 38.1% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 5.473957 | lrm: 1.00 | dt: 143ms | tok/sec: 1,603,916 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.442915 | lrm: 1.00 | dt: 143ms | tok/sec: 1,604,912 | mfu: 37.8% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 5.411868 | lrm: 1.00 | dt: 143ms | tok/sec: 1,603,344 | mfu: 37.7% | epoch: 1 | remaining: 297s    
step 00031 (1.0%) | loss: 5.381516 | lrm: 1.00 | dt: 152ms | tok/sec: 1,511,331 | mfu: 35.6% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 5.354145 | lrm: 1.00 | dt: 140ms | tok/sec: 1,639,054 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00033 (1.1%) | loss: 5.327259 | lrm: 1.00 | dt: 142ms | tok/sec: 1,618,961 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 5.297002 | lrm: 1.00 | dt: 149ms | tok/sec: 1,535,282 | mfu: 36.1% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 5.268186 | lrm: 1.00 | dt: 141ms | tok/sec: 1,631,458 | mfu: 38.4% | epoch: 1 | remaining: 296s    
step 00036 (1.2%) | loss: 5.243098 | lrm: 1.00 | dt: 151ms | tok/sec: 1,522,343 | mfu: 35.8% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 5.215372 | lrm: 1.00 | dt: 140ms | tok/sec: 1,641,680 | mfu: 38.6% | epoch: 1 | remaining: 296s    
step 00038 (1.3%) | loss: 5.190128 | lrm: 1.00 | dt: 144ms | tok/sec: 1,589,377 | mfu: 37.4% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.163093 | lrm: 1.00 | dt: 147ms | tok/sec: 1,563,344 | mfu: 36.8% | epoch: 1 | remaining: 296s    
step 00040 (1.4%) | loss: 5.136629 | lrm: 1.00 | dt: 140ms | tok/sec: 1,636,180 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.109514 | lrm: 1.00 | dt: 142ms | tok/sec: 1,619,629 | mfu: 38.1% | epoch: 1 | remaining: 296s    
step 00042 (1.5%) | loss: 5.085835 | lrm: 1.00 | dt: 147ms | tok/sec: 1,557,328 | mfu: 36.6% | epoch: 1 | remaining: 295s    
step 00043 (1.5%) | loss: 5.060108 | lrm: 1.00 | dt: 142ms | tok/sec: 1,610,983 | mfu: 37.9% | epoch: 1 | remaining: 295s    
step 00044 (1.6%) | loss: 5.032111 | lrm: 1.00 | dt: 141ms | tok/sec: 1,631,848 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00045 (1.6%) | loss: 5.007121 | lrm: 1.00 | dt: 143ms | tok/sec: 1,609,110 | mfu: 37.9% | epoch: 1 | remaining: 295s    
step 00046 (1.7%) | loss: 4.985207 | lrm: 1.00 | dt: 142ms | tok/sec: 1,615,560 | mfu: 38.0% | epoch: 1 | remaining: 295s    
step 00047 (1.7%) | loss: 4.958146 | lrm: 1.00 | dt: 143ms | tok/sec: 1,604,224 | mfu: 37.7% | epoch: 1 | remaining: 295s    
step 00048 (1.8%) | loss: 4.934426 | lrm: 1.00 | dt: 145ms | tok/sec: 1,579,039 | mfu: 37.1% | epoch: 1 | remaining: 295s    
step 00049 (1.8%) | loss: 4.911002 | lrm: 1.00 | dt: 142ms | tok/sec: 1,618,266 | mfu: 38.1% | epoch: 1 | remaining: 294s    
step 00050 (1.9%) | loss: 4.885791 | lrm: 1.00 | dt: 143ms | tok/sec: 1,601,127 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00051 (1.9%) | loss: 4.860684 | lrm: 1.00 | dt: 143ms | tok/sec: 1,605,748 | mfu: 37.8% | epoch: 1 | remaining: 294s    
step 00052 (2.0%) | loss: 4.838700 | lrm: 1.00 | dt: 143ms | tok/sec: 1,608,679 | mfu: 37.8% | epoch: 1 | remaining: 294s    
step 00053 (2.0%) | loss: 4.812739 | lrm: 1.00 | dt: 140ms | tok/sec: 1,632,867 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00054 (2.1%) | loss: 4.783854 | lrm: 1.00 | dt: 143ms | tok/sec: 1,603,890 | mfu: 37.7% | epoch: 1 | remaining: 294s    
step 00055 (2.1%) | loss: 4.759216 | lrm: 1.00 | dt: 157ms | tok/sec: 1,460,163 | mfu: 34.4% | epoch: 1 | remaining: 294s    
step 00056 (2.2%) | loss: 4.732476 | lrm: 1.00 | dt: 139ms | tok/sec: 1,646,110 | mfu: 38.7% | epoch: 1 | remaining: 293s    
step 00057 (2.2%) | loss: 4.709819 | lrm: 1.00 | dt: 140ms | tok/sec: 1,641,406 | mfu: 38.6% | epoch: 1 | remaining: 293s    
step 00058 (2.2%) | loss: 4.690123 | lrm: 1.00 | dt: 142ms | tok/sec: 1,619,247 | mfu: 38.1% | epoch: 1 | remaining: 293s    
step 00059 (2.3%) | loss: 4.664480 | lrm: 1.00 | dt: 142ms | tok/sec: 1,617,970 | mfu: 38.1% | epoch: 1 | remaining: 293s    
step 00060 (2.3%) | loss: 4.640974 | lrm: 1.00 | dt: 140ms | tok/sec: 1,635,532 | mfu: 38.5% | epoch: 1 | remaining: 293s    
step 00061 (2.4%) | loss: 4.617916 | lrm: 1.00 | dt: 141ms | tok/sec: 1,626,691 | mfu: 38.3% | epoch: 1 | remaining: 293s    
step 00062 (2.4%) | loss: 4.591486 | lrm: 1.00 | dt: 144ms | tok/sec: 1,594,332 | mfu: 37.5% | epoch: 1 | remaining: 293s    
