step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.724235534667969,0.0,0.0,3e-05,3.3935301303863525
300,2.0104057788848877,0.0,0.13368181818181818,0.0029889165186613824,11.742056846618652
600,1.9704641103744507,0.0,0.13786363636363635,0.0029312252584644026,20.65707492828369
900,1.9229718446731567,0.0,0.17463636363636365,0.0028262802505665758,29.30605697631836
1200,1.695269227027893,0.0,0.24995454545454546,0.0026779520437983317,38.65978217124939
1500,0.8839094042778015,0.0,0.5679090909090909,0.0024917112325092902,46.80053973197937
1800,0.560661792755127,0.0275,0.7178636363636364,0.002274426691825128,55.00296998023987
2100,0.45834052562713623,0.0605,0.7611818181818182,0.0020341122419518937,63.3547899723053
2400,0.4247499406337738,0.0865,0.7771363636363636,0.0017796310849753703,71.52978491783142
2700,0.3927346467971802,0.088,0.7844545454545454,0.0015203689150246297,79.0708658695221
3000,0.36344966292381287,0.116,0.8040454545454545,0.0012658877580481063,86.88720297813416
3300,0.3343111574649811,0.1625,0.8296818181818182,0.0010255733081748729,94.35724997520447
3600,0.29626551270484924,0.1975,0.8508636363636364,0.0008082887674907099,102.81933093070984
3900,0.2654831111431122,0.267,0.8756818181818182,0.0006220479562016685,110.3697988986969
4200,0.2524883449077606,0.303,0.8892272727272728,0.00047371974943342433,117.93228101730347
4500,0.21842539310455322,0.3485,0.8985454545454545,0.00036877474153559735,125.70874691009521
4800,0.22290563583374023,0.3595,0.9043636363636364,0.00031108348133861787,133.8456928730011
4999,0.21393637359142303,0.3795,0.9071818181818182,0.00030000027746700307,138.90465998649597
