Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011339 | lrm: 1.00 | dt: 179549ms | tok/sec: 912 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.879735 | lrm: 1.00 | dt: 94ms | tok/sec: 1,742,928 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.522323 | lrm: 1.00 | dt: 96ms | tok/sec: 1,705,684 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.081635 | lrm: 1.00 | dt: 101ms | tok/sec: 1,617,328 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.715380 | lrm: 1.00 | dt: 97ms | tok/sec: 1,691,768 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.394413 | lrm: 1.00 | dt: 97ms | tok/sec: 1,684,259 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.141309 | lrm: 1.00 | dt: 97ms | tok/sec: 1,686,028 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.937731 | lrm: 1.00 | dt: 97ms | tok/sec: 1,682,688 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.760369 | lrm: 1.00 | dt: 98ms | tok/sec: 1,675,770 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.608596 | lrm: 1.00 | dt: 106ms | tok/sec: 1,541,476 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.481117 | lrm: 1.00 | dt: 111ms | tok/sec: 1,480,586 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.369956 | lrm: 1.00 | dt: 105ms | tok/sec: 1,566,695 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.277075 | lrm: 1.00 | dt: 112ms | tok/sec: 1,466,171 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.196759 | lrm: 1.00 | dt: 116ms | tok/sec: 1,415,460 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 6.121987 | lrm: 1.00 | dt: 119ms | tok/sec: 1,371,958 | mfu: 33.1% | epoch: 1 | remaining: 300s    
step 00015 (0.2%) | loss: 6.056112 | lrm: 1.00 | dt: 122ms | tok/sec: 1,342,759 | mfu: 32.4% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 5.999312 | lrm: 1.00 | dt: 133ms | tok/sec: 1,234,647 | mfu: 29.8% | epoch: 1 | remaining: 299s    
step 00017 (0.2%) | loss: 5.949409 | lrm: 1.00 | dt: 102ms | tok/sec: 1,611,820 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 5.898816 | lrm: 1.00 | dt: 124ms | tok/sec: 1,325,995 | mfu: 32.0% | epoch: 1 | remaining: 299s    
step 00019 (0.3%) | loss: 5.853915 | lrm: 1.00 | dt: 121ms | tok/sec: 1,350,801 | mfu: 32.6% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 5.806976 | lrm: 1.00 | dt: 97ms | tok/sec: 1,695,253 | mfu: 41.0% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 5.767946 | lrm: 1.00 | dt: 134ms | tok/sec: 1,218,849 | mfu: 29.4% | epoch: 1 | remaining: 299s    
step 00022 (0.4%) | loss: 5.734995 | lrm: 1.00 | dt: 101ms | tok/sec: 1,621,683 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00023 (0.5%) | loss: 5.700882 | lrm: 1.00 | dt: 97ms | tok/sec: 1,685,296 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00024 (0.5%) | loss: 5.668510 | lrm: 1.00 | dt: 97ms | tok/sec: 1,681,424 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00025 (0.5%) | loss: 5.636751 | lrm: 1.00 | dt: 140ms | tok/sec: 1,173,053 | mfu: 28.3% | epoch: 1 | remaining: 298s    
step 00026 (0.6%) | loss: 5.607171 | lrm: 1.00 | dt: 98ms | tok/sec: 1,666,185 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00027 (0.6%) | loss: 5.576685 | lrm: 1.00 | dt: 98ms | tok/sec: 1,679,854 | mfu: 40.6% | epoch: 1 | remaining: 298s    
step 00028 (0.6%) | loss: 5.547012 | lrm: 1.00 | dt: 129ms | tok/sec: 1,267,391 | mfu: 30.6% | epoch: 1 | remaining: 298s    
step 00029 (0.7%) | loss: 5.520683 | lrm: 1.00 | dt: 96ms | tok/sec: 1,700,291 | mfu: 41.1% | epoch: 1 | remaining: 298s    
step 00030 (0.7%) | loss: 5.490540 | lrm: 1.00 | dt: 113ms | tok/sec: 1,452,232 | mfu: 35.1% | epoch: 1 | remaining: 298s    
step 00031 (0.8%) | loss: 5.463381 | lrm: 1.00 | dt: 105ms | tok/sec: 1,566,138 | mfu: 37.8% | epoch: 1 | remaining: 298s    
step 00032 (0.8%) | loss: 5.435901 | lrm: 1.00 | dt: 112ms | tok/sec: 1,462,172 | mfu: 35.3% | epoch: 1 | remaining: 298s    
step 00033 (0.8%) | loss: 5.410704 | lrm: 1.00 | dt: 96ms | tok/sec: 1,709,027 | mfu: 41.3% | epoch: 1 | remaining: 297s    
step 00034 (0.9%) | loss: 5.384810 | lrm: 1.00 | dt: 101ms | tok/sec: 1,626,700 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00035 (0.9%) | loss: 5.358804 | lrm: 1.00 | dt: 119ms | tok/sec: 1,382,493 | mfu: 33.4% | epoch: 1 | remaining: 297s    
step 00036 (0.9%) | loss: 5.338402 | lrm: 1.00 | dt: 96ms | tok/sec: 1,706,243 | mfu: 41.2% | epoch: 1 | remaining: 297s    
step 00037 (1.0%) | loss: 5.314296 | lrm: 1.00 | dt: 101ms | tok/sec: 1,619,940 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00038 (1.0%) | loss: 5.289778 | lrm: 1.00 | dt: 118ms | tok/sec: 1,382,657 | mfu: 33.4% | epoch: 1 | remaining: 297s    
step 00039 (1.0%) | loss: 5.268501 | lrm: 1.00 | dt: 100ms | tok/sec: 1,641,199 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00040 (1.1%) | loss: 5.246140 | lrm: 1.00 | dt: 118ms | tok/sec: 1,393,290 | mfu: 33.7% | epoch: 1 | remaining: 297s    
step 00041 (1.1%) | loss: 5.221576 | lrm: 1.00 | dt: 99ms | tok/sec: 1,653,050 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00042 (1.1%) | loss: 5.197940 | lrm: 1.00 | dt: 102ms | tok/sec: 1,600,789 | mfu: 38.7% | epoch: 1 | remaining: 296s    
step 00043 (1.2%) | loss: 5.173783 | lrm: 1.00 | dt: 105ms | tok/sec: 1,563,615 | mfu: 37.8% | epoch: 1 | remaining: 296s    
step 00044 (1.2%) | loss: 5.150288 | lrm: 1.00 | dt: 98ms | tok/sec: 1,674,573 | mfu: 40.5% | epoch: 1 | remaining: 296s    
step 00045 (1.2%) | loss: 5.129673 | lrm: 1.00 | dt: 122ms | tok/sec: 1,345,770 | mfu: 32.5% | epoch: 1 | remaining: 296s    
step 00046 (1.3%) | loss: 5.111704 | lrm: 1.00 | dt: 96ms | tok/sec: 1,706,853 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00047 (1.3%) | loss: 5.086807 | lrm: 1.00 | dt: 99ms | tok/sec: 1,656,437 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00048 (1.3%) | loss: 5.061524 | lrm: 1.00 | dt: 124ms | tok/sec: 1,325,689 | mfu: 32.0% | epoch: 1 | remaining: 296s    
step 00049 (1.4%) | loss: 5.037697 | lrm: 1.00 | dt: 96ms | tok/sec: 1,704,593 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00050 (1.4%) | loss: 5.018146 | lrm: 1.00 | dt: 100ms | tok/sec: 1,646,216 | mfu: 39.8% | epoch: 1 | remaining: 296s    
step 00051 (1.5%) | loss: 4.997912 | lrm: 1.00 | dt: 99ms | tok/sec: 1,651,227 | mfu: 39.9% | epoch: 1 | remaining: 296s    
step 00052 (1.5%) | loss: 4.975948 | lrm: 1.00 | dt: 100ms | tok/sec: 1,645,360 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00053 (1.5%) | loss: 4.956107 | lrm: 1.00 | dt: 99ms | tok/sec: 1,662,887 | mfu: 40.2% | epoch: 1 | remaining: 295s    
step 00054 (1.6%) | loss: 4.934926 | lrm: 1.00 | dt: 102ms | tok/sec: 1,603,414 | mfu: 38.7% | epoch: 1 | remaining: 295s    
step 00055 (1.6%) | loss: 4.913837 | lrm: 1.00 | dt: 123ms | tok/sec: 1,332,077 | mfu: 32.2% | epoch: 1 | remaining: 295s    
step 00056 (1.6%) | loss: 4.894748 | lrm: 1.00 | dt: 96ms | tok/sec: 1,706,065 | mfu: 41.2% | epoch: 1 | remaining: 295s    
step 00057 (1.7%) | loss: 4.870115 | lrm: 1.00 | dt: 100ms | tok/sec: 1,633,812 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00058 (1.7%) | loss: 4.846553 | lrm: 1.00 | dt: 123ms | tok/sec: 1,330,442 | mfu: 32.1% | epoch: 1 | remaining: 295s    
step 00059 (1.7%) | loss: 4.829319 | lrm: 1.00 | dt: 96ms | tok/sec: 1,699,097 | mfu: 41.1% | epoch: 1 | remaining: 295s    
step 00060 (1.8%) | loss: 4.809557 | lrm: 1.00 | dt: 118ms | tok/sec: 1,392,652 | mfu: 33.6% | epoch: 1 | remaining: 295s    
step 00061 (1.8%) | loss: 4.784804 | lrm: 1.00 | dt: 98ms | tok/sec: 1,666,387 | mfu: 40.3% | epoch: 1 | remaining: 294s    
step 00062 (1.8%) | loss: 4.761806 | lrm: 1.00 | dt: 97ms | tok/sec: 1,680,523 | mfu: 40.6% | epoch: 1 | remaining: 294s    
step 00063 (1.9%) | loss: 4.743518 | lrm: 1.00 | dt: 98ms | tok/sec: 1,676,890 | mfu: 40.5% | epoch: 1 | remaining: 294s    
step 00064 (1.9%) | loss: 4.726673 | lrm: 1.00 | dt: 102ms | tok/sec: 1,603,654 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00065 (1.9%) | loss: 4.701829 | lrm: 1.00 | dt: 115ms | tok/sec: 1,429,157 | mfu: 34.5% | epoch: 1 | remaining: 294s    
step 00066 (2.0%) | loss: 4.680779 | lrm: 1.00 | dt: 97ms | tok/sec: 1,697,099 | mfu: 41.0% | epoch: 1 | remaining: 294s    
step 00067 (2.0%) | loss: 4.658688 | lrm: 1.00 | dt: 101ms | tok/sec: 1,615,902 | mfu: 39.0% | epoch: 1 | remaining: 294s    
