step,train_loss,val_exact,val_token_acc,lr,elapsed_sec
0,4.737147808074951,0.0,0.0,3e-05,9.183815956115723
300,2.393962860107422,0.0,0.1333181818181818,0.0029889165186613824,25.27388286590576
600,1.9952259063720703,0.0,0.1373181818181818,0.0029312252584644026,43.16230797767639
900,1.965419888496399,0.0,0.13545454545454547,0.0028262802505665758,57.52071285247803
1200,1.9565447568893433,0.0,0.13318181818181818,0.0026779520437983317,71.4084939956665
1500,1.9295285940170288,0.0,0.13877272727272727,0.0024917112325092902,85.0877697467804
1800,1.9216521978378296,0.0,0.16027272727272726,0.002274426691825128,101.85426092147827
2100,1.9202065467834473,0.0,0.1511818181818182,0.0020341122419518937,116.2342689037323
2400,1.9104760885238647,0.0,0.17022727272727273,0.0017796310849753703,135.19678211212158
2700,1.7137484550476074,0.0,0.22918181818181818,0.0015203689150246297,153.42738509178162
3000,1.1953452825546265,0.0,0.34186363636363637,0.0012658877580481063,170.33938193321228
3300,1.0916869640350342,0.0,0.4167727272727273,0.0010255733081748729,186.19452691078186
3600,1.0491896867752075,0.0,0.36322727272727273,0.0008082887674907099,204.44397115707397
3900,1.0173684358596802,0.0,0.37354545454545457,0.0006220479562016685,225.953950881958
4200,0.9759340286254883,0.0,0.4093636363636364,0.00047371974943342433,241.45300889015198
4500,0.9311459064483643,0.0,0.43504545454545457,0.00036877474153559735,259.1107339859009
4800,0.9257068634033203,0.0005,0.4606363636363636,0.00031108348133861787,280.3984229564667
4999,0.886466920375824,0.0015,0.5133636363636364,0.00030000027746700307,299.77107095718384
