macro_attempt_id	automation_id	micro_attempt_id	commit	parent_commit	timestamp_utc	family	accuracy	parameters	status	description	proposal	train_exit	verify_exit
attempt-0075	nearest-position-unions	micro-0001	a7cbf2060695f27216a7f39826d22a256d77b6ed	346d89912f272074b2f8878b19d2df19def9735e	2026-08-16T08:51:57.566366+00:00	parameter tying			error	Union closest position groups 364 and 501	Family: parameter tying. Current retained frontier is 2,105 parameters at 99.050000%, a +0.050000 percentage-point margin over 99%. There have been 17 prior attempts in this family. The most recent accepted result is attempt-0074 at 2,105 parameters and 99.05%; the most recent failed result is attempt-0034 (shared normalization biases). This is a parameterization-preserving compression: union current position groups represented by coordinates 364 and 501, whose learned values are -0.0023571008 and -0.0023529029 (absolute difference 4.198e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,104 parameters. It is more informative than the nearest untested alternative (difference 4.503e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	1	
attempt-0076	nearest-position-unions-repair	micro-0001	4b32ee79932cbca1cdd23d4431b0a4b370f31312	346d89912f272074b2f8878b19d2df19def9735e	2026-08-16T08:54:25.954388+00:00	parameter tying	99.050000%	2104	keep	Union closest position groups 364 and 501	Family: parameter tying. Current retained frontier is 2,105 parameters at 99.050000%, a +0.050000 percentage-point margin over 99%. There have been 18 prior attempts in this family. The most recent accepted result is attempt-0074 at 2,105 parameters and 99.05%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 364 and 501, whose learned values are -0.0023571008 and -0.0023529029 (absolute difference 4.198e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,104 parameters. It is more informative than the nearest untested alternative (difference 4.503e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0002	cfdc0b55b0cca3f34d6d40ba7cb640177129d841	4b32ee79932cbca1cdd23d4431b0a4b370f31312	2026-08-16T08:55:27.797797+00:00	parameter tying	99.050000%	2103	keep	Union closest position groups 177 and 462	Family: parameter tying. Current retained frontier is 2,104 parameters at 99.050000%, a +0.050000 percentage-point margin over 99%. There have been 19 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0001 at 2104 parameters and 99.050000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 177 and 462, whose learned values are 0.0004998767 and 0.0005043799 (absolute difference 4.503e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,103 parameters. It is more informative than the nearest untested alternative (difference 4.790e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0003	da68d84de106da89bed82a4a9eb18ca1b8fcc600	cfdc0b55b0cca3f34d6d40ba7cb640177129d841	2026-08-16T08:56:29.935831+00:00	parameter tying	99.050000%	2102	keep	Union closest position groups 211 and 348	Family: parameter tying. Current retained frontier is 2,103 parameters at 99.050000%, a +0.050000 percentage-point margin over 99%. There have been 20 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0002 at 2103 parameters and 99.050000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 211 and 348, whose learned values are 0.0005243364 and 0.0005300569 (absolute difference 5.721e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,102 parameters. It is more informative than the nearest untested alternative (difference 6.702e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0004	c13d2fd61f1cd9c44ea36a730e02cb0e91473b2c	da68d84de106da89bed82a4a9eb18ca1b8fcc600	2026-08-16T08:57:31.845350+00:00	parameter tying	99.040000%	2101	keep	Union closest position groups 260 and 244	Family: parameter tying. Current retained frontier is 2,102 parameters at 99.050000%, a +0.050000 percentage-point margin over 99%. There have been 21 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0003 at 2102 parameters and 99.050000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 260 and 244, whose learned values are 0.0018342569 and 0.0018409587 (absolute difference 6.702e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,101 parameters. It is more informative than the nearest untested alternative (difference 6.728e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0005	ef598b05ef2b846b5b110906d67d932d3c79fe43	c13d2fd61f1cd9c44ea36a730e02cb0e91473b2c	2026-08-16T08:58:34.032346+00:00	parameter tying	99.040000%	2100	keep	Union closest position groups 188 and 21	Family: parameter tying. Current retained frontier is 2,101 parameters at 99.040000%, a +0.040000 percentage-point margin over 99%. There have been 22 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0004 at 2101 parameters and 99.040000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 188 and 21, whose learned values are -0.0111811543 and -0.0111744264 (absolute difference 6.728e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,100 parameters. It is more informative than the nearest untested alternative (difference 7.017e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0006	4aad56f79ff193978abef5f53526fc5e1e280417	ef598b05ef2b846b5b110906d67d932d3c79fe43	2026-08-16T08:59:34.999168+00:00	parameter tying	99.040000%	2099	keep	Union closest position groups 238 and 274	Family: parameter tying. Current retained frontier is 2,100 parameters at 99.040000%, a +0.040000 percentage-point margin over 99%. There have been 23 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0005 at 2100 parameters and 99.040000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 238 and 274, whose learned values are -0.0127586974 and -0.0127516808 (absolute difference 7.017e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,099 parameters. It is more informative than the nearest untested alternative (difference 7.042e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0007	dfd05ee5006748cc5e45b51c0469ff5f428e05b0	4aad56f79ff193978abef5f53526fc5e1e280417	2026-08-16T09:00:36.079793+00:00	parameter tying	99.040000%	2098	keep	Union closest position groups 194 and 177	Family: parameter tying. Current retained frontier is 2,099 parameters at 99.040000%, a +0.040000 percentage-point margin over 99%. There have been 24 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0006 at 2099 parameters and 99.040000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 194 and 177, whose learned values are 0.0004950865 and 0.0005021283 (absolute difference 7.042e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,098 parameters. It is more informative than the nearest untested alternative (difference 8.389e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0008	10ff092714cd04d288695f3ca30c4b49891060fa	dfd05ee5006748cc5e45b51c0469ff5f428e05b0	2026-08-16T09:01:38.002375+00:00	parameter tying	99.040000%	2097	keep	Union closest position groups 334 and 403	Family: parameter tying. Current retained frontier is 2,098 parameters at 99.040000%, a +0.040000 percentage-point margin over 99%. There have been 25 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0007 at 2098 parameters and 99.040000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 334 and 403, whose learned values are 0.0252252594 and 0.0252336487 (absolute difference 8.389e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,097 parameters. It is more informative than the nearest untested alternative (difference 8.624e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
attempt-0076	nearest-position-unions-repair	micro-0009	07222a573b8fae35ab2dacb7e55a75d6a159c4d3	10ff092714cd04d288695f3ca30c4b49891060fa	2026-08-16T09:02:39.745489+00:00	parameter tying	99.040000%	2096	keep	Union closest position groups 175 and 208	Family: parameter tying. Current retained frontier is 2,097 parameters at 99.040000%, a +0.040000 percentage-point margin over 99%. There have been 26 prior attempts in this family. The most recent accepted result is attempt-0076/micro-0008 at 2097 parameters and 99.040000%; the most recent failed result is attempt-0075/micro-0001 (error, no score). This is a parameterization-preserving compression: union current position groups represented by coordinates 175 and 208, whose learned values are -0.0037990911 and -0.0037904670 (absolute difference 8.624e-06), using a multiplicity-weighted mean. Hypothesis: this preserves qualification and yields 2,096 parameters. It is more informative than the nearest untested alternative (difference 8.790e-06) because it is the minimum-distortion eligible union; exact pairs already rejected under the unchanged grouping are excluded. Acceptance and rollback remain solely governed by the official runner.	0	0
